videoPlayCount,url,hashtags,videoViewCount,videoDuration,commentsCount,mentions,caption,timestamp
83683.0,https://www.instagram.com/p/DE4ZFoVgTUr/,nextwomens,19468.0,8.133,5,,Leopard will never be out...but cow print is definitely in  #nextwomens,2025-01-16T09:18:42.000Z
,https://www.instagram.com/p/DERk8VMRZoI/,nextwomens,,,6,bethanmccoy,"Starting the New Year as we mean to go on  
@bethanmccoy  #nextwomens",2025-01-01T08:00:10.000Z
,https://www.instagram.com/p/DEW7etitIYV/,nexthome,,,4,,"This year, I really think I should leave my comfort zone more...
My comfort zone: ☕ #nexthome",2025-01-03T09:25:12.000Z
131648.0,https://www.instagram.com/p/DErirg_gftY/,nextwomens,30729.0,7.3,25,,The ultimate it girl trainers to have on your radar this season  #nextwomens,2025-01-11T09:31:25.000Z
,https://www.instagram.com/p/DEUJwPfuTtA/,Nextwomens,,,7,,Our secret to looking put together in 2025? A bold touch of red  #Nextwomens,2025-01-02T08:00:10.000Z
,https://www.instagram.com/p/DEo2_TSxAfD/,nextkids,,,7,,Mini varsity vibes ✨ #nextkids,2025-01-10T09:00:16.000Z
122541.0,https://www.instagram.com/p/DEhWNzIATek/,nextwomens,40696.0,14.1,9,whatgigiwears,"New year, same faux fur obsession  @whatgigiwears  #nextwomens",2025-01-07T10:32:02.000Z
,https://www.instagram.com/p/DEej0bCt2Mz/,nextwomens,,,27,,2025 is all about bright knitwear and we are so here for it ‍♀️‍♀️ #nextwomens,2025-01-06T09:00:13.000Z
366024.0,https://www.instagram.com/p/DEZh-o8gL1E/,nextwomens,139801.0,47.6,50,gracecharlesstyle,Can we all agree that loungewear is mandatory in January please!?  @gracecharlesstyle  #nextwomens,2025-01-04T09:42:18.000Z
,https://www.instagram.com/p/DEjtbHZsATt/,nexthome,,,6,,WFB (working from bed) ❄️ #nexthome,2025-01-08T09:00:37.000Z
,https://www.instagram.com/p/DEmSSxXuzHB/,nextwomens,,,14,,Psssttt...have you heard about our leopard trench yet?  #nextwomens,2025-01-09T09:00:47.000Z
,https://www.instagram.com/p/DEPAJT2N7Qd/,,,,5,,Here's to a sweet 2025,2024-12-31T08:00:10.000Z
,https://www.instagram.com/p/DEb_Aivx6VS/,,,,17,,If Sunday was an outfit... ✨,2025-01-05T09:00:13.000Z
